detailId,orderId,flashItemId,quantity,unitPrice
DTL-00044,ORD-01564,FSI-00286,1,248000.0
DTL-00045,ORD-00603,FSI-00142,1,192000.0
DTL-00046,ORD-00380,FSI-00240,1,2279000.0
DTL-00047,ORD-02346,FSI-00249,1,821000.0
DTL-00048,ORD-01958,FSI-00419,2,268000.0
DTL-00049,ORD-00824,FSI-00406,2,3109000.0
DTL-00050,ORD-02418,FSI-00242,2,89000.0
DTL-00051,ORD-00478,FSI-00282,1,1056000.0
DTL-00052,ORD-00825,FSI-00445,2,524000.0
DTL-00053,ORD-01343,FSI-00048,2,111000.0
DTL-00054,ORD-00784,FSI-00115,1,656000.0
DTL-00055,ORD-00570,FSI-00182,2,118000.0
DTL-00056,ORD-00948,FSI-00401,1,3133000.0
DTL-00057,ORD-00861,FSI-00393,2,1877000.0
DTL-00058,ORD-02345,FSI-00362,2,2649000.0
DTL-00059,ORD-01734,FSI-00426,2,1826000.0
DTL-00060,ORD-01353,FSI-00071,1,762000.0
DTL-00061,ORD-01756,FSI-00403,1,1318000.0
DTL-00062,ORD-01125,FSI-00281,2,1934000.0
DTL-00063,ORD-00550,FSI-00318,1,2017000.0
DTL-00064,ORD-02026,FSI-00368,2,1088000.0
DTL-00065,ORD-00661,FSI-00263,2,237000.0
DTL-00066,ORD-00752,FSI-00472,1,793000.0
DTL-00067,ORD-02146,FSI-00259,2,1920000.0
DTL-00068,ORD-01999,FSI-00094,2,112000.0
DTL-00069,ORD-02021,FSI-00267,2,1135000.0
DTL-00070,ORD-00722,FSI-00032,2,1354000.0
DTL-00071,ORD-01818,FSI-00207,2,2630000.0
DTL-00072,ORD-01026,FSI-00074,2,883000.0
DTL-00073,ORD-02450,FSI-00167,2,1207000.0
DTL-00074,ORD-02005,FSI-00139,2,499000.0
DTL-00075,ORD-00609,FSI-00208,2,542000.0
DTL-00076,ORD-00910,FSI-00233,1,2090000.0
DTL-00077,ORD-00359,FSI-00132,2,1646000.0
DTL-00078,ORD-01899,FSI-00481,1,231000.0
DTL-00079,ORD-00835,FSI-00140,1,1259000.0
DTL-00080,ORD-01736,FSI-00460,1,2152000.0
DTL-00081,ORD-01548,FSI-00285,1,1737000.0
DTL-00082,ORD-02230,FSI-00311,2,1341000.0
DTL-00083,ORD-02214,FSI-00408,2,640000.0
DTL-00084,ORD-01548,FSI-00101,2,1723000.0
DTL-00085,ORD-01724,FSI-00138,1,367000.0
DTL-00086,ORD-00750,FSI-00472,1,793000.0
DTL-00087,ORD-01265,FSI-00144,1,2057000.0
DTL-00088,ORD-00256,FSI-00463,1,105000.0
DTL-00089,ORD-02400,FSI-00454,2,1793000.0
DTL-00090,ORD-01139,FSI-00460,2,2152000.0
DTL-00091,ORD-00151,FSI-00099,2,924000.0
DTL-00092,ORD-00225,FSI-00078,1,1784000.0
DTL-00093,ORD-00873,FSI-00124,1,1660000.0
DTL-00094,ORD-01801,FSI-00470,1,2025000.0
DTL-00095,ORD-01719,FSI-00320,1,1610000.0
DTL-00096,ORD-01295,FSI-00420,2,504000.0
DTL-00097,ORD-01578,FSI-00011,2,898000.0
DTL-00098,ORD-01509,FSI-00446,2,543000.0
DTL-00099,ORD-00453,FSI-00280,1,1586000.0
DTL-00100,ORD-00942,FSI-00115,2,656000.0
DTL-00101,ORD-01320,FSI-00344,2,2618000.0
DTL-00102,ORD-01993,FSI-00124,1,1660000.0
DTL-00103,ORD-00686,FSI-00475,1,57000.0
DTL-00104,ORD-01040,FSI-00244,2,2180000.0
DTL-00105,ORD-02344,FSI-00085,1,1179000.0
DTL-00106,ORD-01952,FSI-00352,1,421000.0
DTL-00107,ORD-00874,FSI-00391,1,1674000.0
DTL-00108,ORD-01669,FSI-00187,2,2229000.0
DTL-00109,ORD-00783,FSI-00256,1,2207000.0
DTL-00110,ORD-01395,FSI-00274,2,302000.0
DTL-00111,ORD-01923,FSI-00420,1,504000.0
DTL-00112,ORD-02415,FSI-00169,1,2111000.0
DTL-00113,ORD-02173,FSI-00142,1,192000.0
DTL-00114,ORD-01788,FSI-00290,2,1683000.0
DTL-00115,ORD-00623,FSI-00223,1,708000.0
DTL-00116,ORD-02454,FSI-00199,1,1658000.0
DTL-00117,ORD-01560,FSI-00022,1,1164000.0
DTL-00118,ORD-00837,FSI-00113,2,1062000.0
DTL-00119,ORD-02246,FSI-00033,2,169000.0
DTL-00120,ORD-01228,FSI-00080,2,1138000.0
DTL-00121,ORD-00872,FSI-00277,1,468000.0
DTL-00122,ORD-01438,FSI-00168,2,1382000.0
DTL-00123,ORD-00372,FSI-00479,2,2322000.0
DTL-00124,ORD-01883,FSI-00069,2,872000.0
DTL-00125,ORD-02127,FSI-00463,2,105000.0
DTL-00126,ORD-00253,FSI-00350,2,1960000.0
DTL-00127,ORD-00953,FSI-00472,1,793000.0
DTL-00128,ORD-01883,FSI-00010,2,1190000.0
DTL-00129,ORD-01695,FSI-00452,1,93000.0
DTL-00130,ORD-02406,FSI-00073,1,2496000.0
DTL-00131,ORD-01087,FSI-00375,1,1903000.0
DTL-00132,ORD-01811,FSI-00369,2,2083000.0
DTL-00133,ORD-00376,FSI-00266,2,452000.0
DTL-00134,ORD-01915,FSI-00061,1,1467000.0
DTL-00135,ORD-00491,FSI-00224,2,1462000.0
DTL-00136,ORD-00543,FSI-00127,2,1002000.0
DTL-00137,ORD-00341,FSI-00328,1,773000.0
DTL-00138,ORD-00905,FSI-00309,1,2713000.0
DTL-00139,ORD-02018,FSI-00499,2,2337000.0
DTL-00140,ORD-00105,FSI-00099,2,924000.0
DTL-00141,ORD-01791,FSI-00109,2,1523000.0
DTL-00142,ORD-02417,FSI-00123,2,445000.0
DTL-00143,ORD-01911,FSI-00228,2,2016000.0
DTL-00144,ORD-01830,FSI-00403,1,1318000.0
DTL-00145,ORD-00944,FSI-00261,2,1896000.0
DTL-00146,ORD-00483,FSI-00479,1,2322000.0
DTL-00147,ORD-01525,FSI-00325,1,2177000.0
DTL-00148,ORD-00273,FSI-00467,1,766000.0
DTL-00149,ORD-00398,FSI-00364,1,1895000.0
DTL-00150,ORD-01441,FSI-00401,1,3133000.0
DTL-00151,ORD-00798,FSI-00369,1,2083000.0
DTL-00152,ORD-01242,FSI-00004,1,956000.0
DTL-00153,ORD-01940,FSI-00190,2,2563000.0
DTL-00154,ORD-02060,FSI-00100,2,2030000.0
DTL-00155,ORD-02114,FSI-00425,2,1142000.0
DTL-00156,ORD-01063,FSI-00489,1,1354000.0
DTL-00157,ORD-01499,FSI-00312,2,50000.0
DTL-00158,ORD-01636,FSI-00292,1,301000.0
DTL-00159,ORD-00982,FSI-00118,1,2561000.0
DTL-00160,ORD-01241,FSI-00378,1,875000.0
DTL-00161,ORD-00075,FSI-00062,1,2573000.0
DTL-00162,ORD-00150,FSI-00492,2,1809000.0
DTL-00163,ORD-00317,FSI-00400,1,484000.0
DTL-00164,ORD-02358,FSI-00106,2,1335000.0
DTL-00165,ORD-02217,FSI-00384,2,1842000.0
DTL-00166,ORD-01216,FSI-00064,1,1275000.0
DTL-00167,ORD-01145,FSI-00382,2,2491000.0
DTL-00168,ORD-01596,FSI-00172,1,3349000.0
DTL-00169,ORD-02048,FSI-00371,2,1522000.0
DTL-00170,ORD-00343,FSI-00424,1,1802000.0
DTL-00171,ORD-01801,FSI-00207,2,2630000.0
DTL-00172,ORD-00266,FSI-00206,1,79000.0
DTL-00173,ORD-02103,FSI-00336,2,458000.0
DTL-00174,ORD-00625,FSI-00429,2,1099000.0
DTL-00175,ORD-01023,FSI-00227,2,1691000.0
DTL-00176,ORD-02062,FSI-00308,1,287000.0
DTL-00177,ORD-02097,FSI-00036,2,524000.0
DTL-00178,ORD-02203,FSI-00111,1,2364000.0
DTL-00179,ORD-01901,FSI-00371,1,1522000.0
DTL-00180,ORD-01423,FSI-00284,2,724000.0
DTL-00181,ORD-00640,FSI-00385,2,79000.0
DTL-00182,ORD-00694,FSI-00181,1,401000.0
DTL-00183,ORD-00416,FSI-00284,2,724000.0
DTL-00184,ORD-01621,FSI-00180,1,332000.0
DTL-00185,ORD-01509,FSI-00125,1,736000.0
DTL-00186,ORD-00635,FSI-00062,2,2573000.0
DTL-00187,ORD-00784,FSI-00410,2,1528000.0
DTL-00188,ORD-01299,FSI-00466,2,891000.0
DTL-00189,ORD-01790,FSI-00358,2,720000.0
DTL-00190,ORD-01223,FSI-00405,2,1125000.0
DTL-00191,ORD-01592,FSI-00195,1,1473000.0
DTL-00192,ORD-01341,FSI-00044,2,2020000.0
DTL-00193,ORD-00391,FSI-00405,2,1125000.0
DTL-00194,ORD-00617,FSI-00470,2,2025000.0
DTL-00195,ORD-01050,FSI-00390,2,1203000.0
DTL-00196,ORD-00119,FSI-00423,1,2348000.0
DTL-00197,ORD-01398,FSI-00447,1,1527000.0
DTL-00198,ORD-02291,FSI-00352,2,421000.0
DTL-00199,ORD-00988,FSI-00209,2,793000.0
DTL-00200,ORD-00919,FSI-00266,2,452000.0
DTL-00201,ORD-00997,FSI-00245,2,2605000.0
DTL-00202,ORD-02353,FSI-00435,2,1901000.0
DTL-00203,ORD-00753,FSI-00376,2,1504000.0
DTL-00204,ORD-00271,FSI-00380,2,2242000.0
DTL-00205,ORD-00755,FSI-00479,1,2322000.0
DTL-00206,ORD-00178,FSI-00368,1,1088000.0
DTL-00207,ORD-00427,FSI-00103,1,912000.0
DTL-00208,ORD-01282,FSI-00498,1,354000.0
DTL-00209,ORD-02039,FSI-00422,1,1469000.0
DTL-00210,ORD-01064,FSI-00236,1,279000.0
DTL-00211,ORD-02346,FSI-00108,1,1305000.0
DTL-00212,ORD-00370,FSI-00396,1,286000.0
DTL-00213,ORD-00105,FSI-00145,2,1241000.0
DTL-00214,ORD-01247,FSI-00261,1,1896000.0
DTL-00215,ORD-02378,FSI-00222,2,1525000.0
DTL-00216,ORD-00754,FSI-00203,1,1398000.0
DTL-00217,ORD-00450,FSI-00386,1,1860000.0
DTL-00218,ORD-01441,FSI-00280,2,1586000.0
DTL-00219,ORD-00942,FSI-00434,1,1096000.0
DTL-00220,ORD-00450,FSI-00320,1,1610000.0
DTL-00221,ORD-00914,FSI-00497,1,150000.0
DTL-00222,ORD-01666,FSI-00004,2,956000.0
DTL-00223,ORD-01332,FSI-00209,1,793000.0
DTL-00224,ORD-01740,FSI-00281,2,1934000.0
DTL-00225,ORD-00746,FSI-00184,1,1326000.0
DTL-00226,ORD-01251,FSI-00309,1,2713000.0
DTL-00227,ORD-01262,FSI-00310,1,1366000.0
DTL-00228,ORD-00650,FSI-00016,2,1003000.0
DTL-00229,ORD-00125,FSI-00286,2,248000.0
DTL-00230,ORD-00961,FSI-00322,2,600000.0
DTL-00231,ORD-01627,FSI-00338,2,89000.0
DTL-00232,ORD-00030,FSI-00329,2,812000.0
DTL-00233,ORD-01617,FSI-00399,1,853000.0
DTL-00234,ORD-01544,FSI-00492,2,1809000.0
DTL-00235,ORD-02092,FSI-00161,1,1468000.0
DTL-00236,ORD-00002,FSI-00141,2,1968000.0
DTL-00237,ORD-01659,FSI-00466,2,891000.0
DTL-00238,ORD-02033,FSI-00211,1,1727000.0
DTL-00239,ORD-00594,FSI-00328,2,773000.0
DTL-00240,ORD-02246,FSI-00337,1,1843000.0
DTL-00241,ORD-00538,FSI-00315,1,358000.0
DTL-00242,ORD-00302,FSI-00127,1,1002000.0
DTL-00243,ORD-01284,FSI-00421,2,367000.0
DTL-00244,ORD-02284,FSI-00077,2,1478000.0
DTL-00245,ORD-02461,FSI-00158,1,1339000.0
DTL-00246,ORD-00193,FSI-00408,2,640000.0
DTL-00247,ORD-00626,FSI-00308,1,287000.0
DTL-00248,ORD-01947,FSI-00173,2,1825000.0
DTL-00249,ORD-01780,FSI-00273,1,697000.0
DTL-00250,ORD-02108,FSI-00120,2,1736000.0
DTL-00251,ORD-00996,FSI-00397,1,2590000.0
DTL-00252,ORD-00831,FSI-00079,1,1372000.0
DTL-00253,ORD-00169,FSI-00014,2,1234000.0
DTL-00254,ORD-00108,FSI-00170,2,1427000.0
DTL-00255,ORD-01398,FSI-00174,1,3234000.0
DTL-00256,ORD-01077,FSI-00100,1,2030000.0
DTL-00257,ORD-00913,FSI-00417,2,927000.0
DTL-00258,ORD-02216,FSI-00496,1,1038000.0
DTL-00259,ORD-01713,FSI-00247,2,278000.0
DTL-00260,ORD-01739,FSI-00017,1,2021000.0
DTL-00261,ORD-00093,FSI-00129,1,2031000.0
DTL-00262,ORD-01878,FSI-00193,1,552000.0
DTL-00263,ORD-01131,FSI-00083,2,1757000.0
DTL-00264,ORD-02428,FSI-00329,1,812000.0
DTL-00265,ORD-02132,FSI-00481,2,231000.0
DTL-00266,ORD-01349,FSI-00137,1,2139000.0
DTL-00267,ORD-01953,FSI-00248,1,1966000.0
DTL-00268,ORD-01398,FSI-00044,1,2020000.0
DTL-00269,ORD-01531,FSI-00184,1,1326000.0
DTL-00270,ORD-01378,FSI-00450,2,1341000.0
DTL-00271,ORD-01473,FSI-00244,1,2180000.0
DTL-00272,ORD-00123,FSI-00423,1,2348000.0
DTL-00273,ORD-00911,FSI-00286,2,248000.0
DTL-00274,ORD-00893,FSI-00460,1,2152000.0
DTL-00275,ORD-00999,FSI-00090,2,2945000.0
DTL-00276,ORD-00978,FSI-00268,1,1492000.0
DTL-00277,ORD-01928,FSI-00210,2,1648000.0
DTL-00278,ORD-00039,FSI-00055,2,1725000.0
DTL-00279,ORD-00045,FSI-00164,1,483000.0
DTL-00280,ORD-02303,FSI-00279,2,2025000.0
DTL-00281,ORD-00039,FSI-00181,1,401000.0
DTL-00282,ORD-00931,FSI-00108,1,1305000.0
DTL-00283,ORD-02439,FSI-00214,2,2701000.0
DTL-00284,ORD-00380,FSI-00290,1,1683000.0
DTL-00285,ORD-00229,FSI-00256,2,2207000.0
DTL-00286,ORD-01434,FSI-00230,2,740000.0
DTL-00287,ORD-02309,FSI-00441,2,1089000.0
DTL-00288,ORD-01465,FSI-00029,2,2399000.0
DTL-00289,ORD-01431,FSI-00402,2,1383000.0
DTL-00290,ORD-01620,FSI-00138,2,367000.0
DTL-00291,ORD-01664,FSI-00266,2,452000.0
DTL-00292,ORD-00545,FSI-00309,2,2713000.0
DTL-00293,ORD-01218,FSI-00233,2,2090000.0
DTL-00294,ORD-01629,FSI-00194,2,860000.0
DTL-00295,ORD-01452,FSI-00022,1,1164000.0
DTL-00296,ORD-01226,FSI-00395,2,2308000.0
DTL-00297,ORD-01637,FSI-00279,1,2025000.0
DTL-00298,ORD-02245,FSI-00268,1,1492000.0
DTL-00299,ORD-00552,FSI-00002,2,601000.0
DTL-00300,ORD-02046,FSI-00102,1,259000.0
DTL-00301,ORD-02091,FSI-00381,2,1470000.0
DTL-00302,ORD-00012,FSI-00102,2,259000.0
DTL-00303,ORD-00148,FSI-00292,1,301000.0
DTL-00304,ORD-00893,FSI-00342,1,1759000.0
DTL-00305,ORD-01366,FSI-00409,1,2426000.0
DTL-00306,ORD-01446,FSI-00255,2,1417000.0
DTL-00307,ORD-01980,FSI-00391,1,1674000.0
DTL-00308,ORD-01224,FSI-00181,1,401000.0
DTL-00309,ORD-00026,FSI-00441,1,1089000.0
DTL-00310,ORD-02210,FSI-00293,2,2110000.0
DTL-00311,ORD-02439,FSI-00328,2,773000.0
DTL-00312,ORD-01247,FSI-00028,2,1621000.0
DTL-00313,ORD-01154,FSI-00040,2,874000.0
DTL-00314,ORD-02102,FSI-00182,2,118000.0
DTL-00315,ORD-02002,FSI-00261,2,1896000.0
DTL-00316,ORD-00171,FSI-00270,1,704000.0
DTL-00317,ORD-01584,FSI-00319,1,3121000.0
DTL-00318,ORD-00548,FSI-00385,1,79000.0
DTL-00319,ORD-00683,FSI-00414,2,677000.0
DTL-00320,ORD-01107,FSI-00089,2,1224000.0
DTL-00321,ORD-00325,FSI-00001,1,287000.0
DTL-00322,ORD-01712,FSI-00389,2,1486000.0
DTL-00323,ORD-02398,FSI-00427,2,408000.0
DTL-00324,ORD-00238,FSI-00277,1,468000.0
DTL-00325,ORD-01828,FSI-00045,1,1728000.0
DTL-00326,ORD-00699,FSI-00012,1,1798000.0
DTL-00327,ORD-00682,FSI-00042,2,1907000.0
DTL-00328,ORD-00602,FSI-00202,2,172000.0
DTL-00329,ORD-00421,FSI-00365,1,238000.0
DTL-00330,ORD-01027,FSI-00235,1,850000.0
DTL-00331,ORD-01094,FSI-00270,2,704000.0
DTL-00332,ORD-00847,FSI-00411,2,1523000.0
DTL-00333,ORD-00835,FSI-00474,1,1943000.0
DTL-00334,ORD-00980,FSI-00315,2,358000.0
DTL-00335,ORD-02071,FSI-00329,1,812000.0
DTL-00336,ORD-01990,FSI-00014,1,1234000.0
DTL-00337,ORD-01902,FSI-00158,2,1339000.0
DTL-00338,ORD-01391,FSI-00097,2,709000.0
DTL-00339,ORD-02118,FSI-00283,2,1061000.0
DTL-00340,ORD-00934,FSI-00055,1,1725000.0
DTL-00341,ORD-01395,FSI-00390,2,1203000.0
DTL-00342,ORD-02342,FSI-00094,1,112000.0
DTL-00343,ORD-02043,FSI-00039,2,174000.0
DTL-00344,ORD-00906,FSI-00288,1,1865000.0
DTL-00345,ORD-02009,FSI-00424,2,1802000.0
DTL-00346,ORD-00542,FSI-00229,1,588000.0
DTL-00347,ORD-00241,FSI-00488,2,785000.0
DTL-00348,ORD-01958,FSI-00331,2,2547000.0
DTL-00349,ORD-00941,FSI-00340,2,3142000.0
DTL-00350,ORD-01325,FSI-00054,2,2424000.0
DTL-00351,ORD-02438,FSI-00205,2,1146000.0
DTL-00352,ORD-01975,FSI-00034,2,341000.0
DTL-00353,ORD-01275,FSI-00060,1,1361000.0
DTL-00354,ORD-00371,FSI-00332,2,531000.0
DTL-00355,ORD-00099,FSI-00445,1,524000.0
DTL-00356,ORD-02260,FSI-00217,2,1406000.0
DTL-00357,ORD-00127,FSI-00394,1,79000.0
DTL-00358,ORD-01235,FSI-00080,2,1138000.0
DTL-00359,ORD-00688,FSI-00159,2,1840000.0
DTL-00360,ORD-01755,FSI-00366,1,2415000.0
DTL-00361,ORD-01755,FSI-00487,1,1112000.0
DTL-00362,ORD-00946,FSI-00385,1,79000.0
DTL-00363,ORD-00826,FSI-00274,2,302000.0
DTL-00364,ORD-01762,FSI-00163,1,56000.0
DTL-00365,ORD-02151,FSI-00274,2,302000.0
DTL-00366,ORD-00442,FSI-00084,2,197000.0
DTL-00367,ORD-00189,FSI-00474,1,1943000.0
DTL-00368,ORD-00540,FSI-00345,1,2628000.0
DTL-00369,ORD-02496,FSI-00278,1,2149000.0
DTL-00370,ORD-00118,FSI-00092,1,1949000.0
DTL-00371,ORD-01722,FSI-00474,2,1943000.0
DTL-00372,ORD-01912,FSI-00356,1,2659000.0
DTL-00373,ORD-01863,FSI-00113,1,1062000.0
DTL-00374,ORD-01622,FSI-00083,1,1757000.0
DTL-00375,ORD-01451,FSI-00161,1,1468000.0
DTL-00376,ORD-00517,FSI-00419,1,268000.0
DTL-00377,ORD-01109,FSI-00382,1,2491000.0
DTL-00378,ORD-00453,FSI-00328,1,773000.0
DTL-00379,ORD-02173,FSI-00205,1,1146000.0
DTL-00380,ORD-01727,FSI-00093,1,1458000.0
DTL-00381,ORD-01863,FSI-00055,2,1725000.0
DTL-00382,ORD-01970,FSI-00070,1,1162000.0
DTL-00383,ORD-00695,FSI-00182,1,118000.0
DTL-00384,ORD-02198,FSI-00251,1,2239000.0
DTL-00385,ORD-00424,FSI-00056,2,764000.0
DTL-00386,ORD-01073,FSI-00139,1,499000.0
DTL-00387,ORD-00108,FSI-00445,1,524000.0
DTL-00388,ORD-02485,FSI-00497,1,150000.0
DTL-00389,ORD-00847,FSI-00355,1,614000.0
DTL-00390,ORD-00359,FSI-00478,1,431000.0
DTL-00391,ORD-01752,FSI-00345,1,2628000.0
DTL-00392,ORD-00910,FSI-00112,1,1518000.0
DTL-00393,ORD-01728,FSI-00385,2,79000.0
DTL-00394,ORD-02289,FSI-00473,1,1442000.0
DTL-00395,ORD-00992,FSI-00287,1,900000.0
DTL-00396,ORD-00577,FSI-00162,2,1361000.0
DTL-00397,ORD-01343,FSI-00145,1,1241000.0
DTL-00398,ORD-02001,FSI-00086,2,241000.0
DTL-00399,ORD-01424,FSI-00294,2,1061000.0
DTL-00400,ORD-00259,FSI-00009,1,2006000.0
DTL-00401,ORD-02451,FSI-00113,1,1062000.0
DTL-00402,ORD-00754,FSI-00353,2,2151000.0
DTL-00403,ORD-01162,FSI-00278,2,2149000.0
DTL-00404,ORD-00746,FSI-00354,1,1000000.0
DTL-00405,ORD-01402,FSI-00199,2,1658000.0
DTL-00406,ORD-01611,FSI-00088,1,1717000.0
DTL-00407,ORD-02269,FSI-00335,1,1636000.0
DTL-00408,ORD-00395,FSI-00122,1,1024000.0
DTL-00409,ORD-00221,FSI-00307,1,1512000.0
DTL-00410,ORD-01189,FSI-00181,1,401000.0
DTL-00411,ORD-01965,FSI-00364,1,1895000.0
DTL-00412,ORD-01723,FSI-00387,1,1961000.0
DTL-00413,ORD-00644,FSI-00298,2,3240000.0
DTL-00414,ORD-00486,FSI-00388,1,2530000.0
DTL-00415,ORD-01330,FSI-00278,2,2149000.0
DTL-00416,ORD-00059,FSI-00461,2,1233000.0
DTL-00417,ORD-00920,FSI-00421,2,367000.0
DTL-00418,ORD-00982,FSI-00429,2,1099000.0
DTL-00419,ORD-01751,FSI-00019,2,88000.0
DTL-00420,ORD-00699,FSI-00176,1,667000.0
DTL-00421,ORD-01004,FSI-00440,1,1257000.0
DTL-00422,ORD-00092,FSI-00077,1,1478000.0
DTL-00423,ORD-00208,FSI-00289,2,1112000.0
DTL-00424,ORD-02450,FSI-00035,2,1021000.0
DTL-00425,ORD-00011,FSI-00043,2,573000.0
DTL-00426,ORD-01841,FSI-00277,1,468000.0
DTL-00427,ORD-01560,FSI-00205,1,1146000.0
DTL-00428,ORD-02465,FSI-00391,1,1674000.0
DTL-00429,ORD-01627,FSI-00172,2,3349000.0
DTL-00430,ORD-01718,FSI-00284,1,724000.0
DTL-00431,ORD-01446,FSI-00392,2,444000.0
DTL-00432,ORD-02094,FSI-00145,2,1241000.0
DTL-00433,ORD-00704,FSI-00011,1,898000.0
DTL-00434,ORD-01779,FSI-00457,2,1499000.0
DTL-00435,ORD-01148,FSI-00137,1,2139000.0
DTL-00436,ORD-00695,FSI-00210,1,1648000.0
DTL-00437,ORD-00812,FSI-00319,1,3121000.0
DTL-00438,ORD-00921,FSI-00244,1,2180000.0
DTL-00439,ORD-02342,FSI-00015,2,844000.0
DTL-00440,ORD-01688,FSI-00264,2,220000.0
DTL-00441,ORD-02399,FSI-00329,2,812000.0
DTL-00442,ORD-00816,FSI-00103,1,912000.0
DTL-00443,ORD-00829,FSI-00255,2,1417000.0
DTL-00444,ORD-01730,FSI-00430,1,722000.0
DTL-00445,ORD-01199,FSI-00423,2,2348000.0
DTL-00446,ORD-02499,FSI-00497,1,150000.0
DTL-00447,ORD-00234,FSI-00391,1,1674000.0
DTL-00448,ORD-02379,FSI-00314,2,579000.0
DTL-00449,ORD-00148,FSI-00103,1,912000.0
DTL-00450,ORD-00830,FSI-00420,1,504000.0
DTL-00451,ORD-01114,FSI-00323,2,2082000.0
DTL-00452,ORD-01275,FSI-00024,2,500000.0
DTL-00453,ORD-01046,FSI-00410,2,1528000.0
DTL-00454,ORD-00669,FSI-00249,1,821000.0
DTL-00455,ORD-00464,FSI-00405,2,1125000.0
DTL-00456,ORD-01924,FSI-00383,2,154000.0
DTL-00457,ORD-01501,FSI-00308,1,287000.0
DTL-00458,ORD-01531,FSI-00248,1,1966000.0
DTL-00459,ORD-00127,FSI-00499,2,2337000.0
DTL-00460,ORD-00262,FSI-00123,1,445000.0
DTL-00461,ORD-01740,FSI-00403,1,1318000.0
DTL-00462,ORD-01929,FSI-00119,1,1411000.0
DTL-00463,ORD-01476,FSI-00093,2,1458000.0
DTL-00464,ORD-01573,FSI-00209,2,793000.0
DTL-00465,ORD-01810,FSI-00344,2,2618000.0
DTL-00466,ORD-02345,FSI-00146,1,1253000.0
DTL-00467,ORD-02391,FSI-00300,1,958000.0
DTL-00468,ORD-01629,FSI-00087,2,2041000.0
DTL-00469,ORD-01941,FSI-00310,2,1366000.0
DTL-00470,ORD-00504,FSI-00472,2,793000.0
DTL-00471,ORD-00945,FSI-00079,1,1372000.0
DTL-00472,ORD-01233,FSI-00165,2,1126000.0
DTL-00473,ORD-01104,FSI-00321,2,63000.0
DTL-00474,ORD-00312,FSI-00154,2,1035000.0
DTL-00475,ORD-02285,FSI-00180,1,332000.0
DTL-00476,ORD-00040,FSI-00106,2,1335000.0
DTL-00477,ORD-02495,FSI-00470,1,2025000.0
DTL-00478,ORD-01891,FSI-00197,1,616000.0
DTL-00479,ORD-01960,FSI-00183,2,314000.0
DTL-00480,ORD-00781,FSI-00285,2,1737000.0
DTL-00481,ORD-00712,FSI-00090,1,2945000.0
DTL-00482,ORD-00425,FSI-00423,1,2348000.0
DTL-00483,ORD-01805,FSI-00312,2,50000.0
DTL-00484,ORD-00489,FSI-00287,2,900000.0
DTL-00485,ORD-00309,FSI-00221,2,1769000.0
DTL-00486,ORD-02012,FSI-00055,2,1725000.0
DTL-00487,ORD-01506,FSI-00283,2,1061000.0
